                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0576,                 1.5957,                 1.3891,                0.26862,                0.49366,                0.30424,                0.17486,                 1.3653,                 2.1478,                 1.8862,             0.00077857,             0.00077857,             0.00077857
                     35,                 1.1015,                 1.7047,                 1.4113,                0.31538,                0.49867,                0.33881,                 0.1952,                 1.3658,                 2.0339,                 1.8022,             0.00077692,             0.00077692,             0.00077692
                     36,                 1.0328,                 1.6187,                 1.3373,                0.27676,                0.48336,                0.39282,                0.23724,                  1.312,                 2.0228,                 1.7324,             0.00077527,             0.00077527,             0.00077527
                     37,                 1.0684,                 1.6473,                 1.3855,                0.29404,                0.54399,                0.36959,                0.23542,                 1.2465,                 2.0399,                 1.7529,             0.00077362,             0.00077362,             0.00077362
                     38,                 1.0528,                 1.6424,                 1.3804,                0.25559,                0.53539,                0.33828,                0.20511,                  1.286,                 2.1087,                 1.8058,             0.00077197,             0.00077197,             0.00077197
                     39,                0.97265,                 1.5013,                 1.2987,                0.26329,                0.53356,                 0.3331,                0.19305,                 1.3297,                 2.1764,                 1.8634,             0.00077033,             0.00077033,             0.00077033
                     40,                 1.0314,                 1.5447,                  1.333,                0.28691,                0.43164,                0.33131,                 0.1961,                 1.4168,                 2.1969,                 1.9107,             0.00076868,             0.00076868,             0.00076868
                     41,                 1.0173,                 1.5726,                 1.3398,                 0.2872,                0.59519,                0.35657,                0.21919,                 1.2992,                 2.0229,                 1.8014,             0.00076703,             0.00076703,             0.00076703
                     42,                 1.0235,                 1.5909,                 1.3448,                0.32185,                0.65807,                0.41049,                0.25884,                 1.2218,                 1.8771,                 1.6929,             0.00076538,             0.00076538,             0.00076538
                     43,                0.98124,                  1.508,                 1.2958,                0.35208,                0.60776,                0.39504,                0.23411,                 1.3042,                 1.9676,                 1.8016,             0.00076373,             0.00076373,             0.00076373
                     44,                 0.9774,                 1.5027,                 1.2832,                0.29369,                 0.5387,                0.35186,                0.21598,                  1.335,                 1.9759,                 1.7852,             0.00076208,             0.00076208,             0.00076208
                     45,                0.98487,                 1.4719,                 1.2828,                0.24982,                0.48646,                0.29796,                0.17568,                 1.3835,                 2.2011,                 1.8756,             0.00076043,             0.00076043,             0.00076043
                     46,                0.95914,                 1.4151,                 1.2611,                0.29606,                0.53675,                0.37464,                0.21552,                 1.3645,                 2.0067,                 1.8493,             0.00075878,             0.00075878,             0.00075878
                     47,                0.93468,                 1.4785,                 1.2668,                0.34512,                 0.5241,                0.41358,                  0.246,                 1.3043,                 1.9673,                 1.7622,             0.00075713,             0.00075713,             0.00075713
                     48,                0.96464,                  1.435,                 1.2825,                 0.3156,                0.63188,                0.40456,                0.23874,                 1.3482,                 1.9405,                 1.7745,             0.00075548,             0.00075548,             0.00075548
                     49,                0.96844,                 1.4255,                 1.2603,                0.32076,                0.62067,                0.40893,                0.25267,                 1.4242,                 1.9788,                 1.8675,             0.00075383,             0.00075383,             0.00075383
                     50,                0.88718,                 1.3422,                 1.2099,                0.41295,                0.52317,                0.44794,                0.27177,                 1.3103,                 1.9201,                 1.8261,             0.00075218,             0.00075218,             0.00075218
                     51,                0.90283,                 1.3919,                 1.2534,                0.38179,                0.55037,                0.42406,                0.26664,                  1.255,                 1.9173,                  1.698,             0.00075053,             0.00075053,             0.00075053
                     52,                0.90546,                 1.3755,                 1.2362,                0.33843,                0.67797,                 0.4407,                0.25856,                 1.3035,                 1.7917,                 1.8046,             0.00074888,             0.00074888,             0.00074888
                     53,                0.90523,                 1.3681,                 1.2505,                0.37249,                0.59742,                 0.4431,                0.26997,                 1.2963,                 1.8539,                 1.7872,             0.00074723,             0.00074723,             0.00074723
                     54,                0.95113,                 1.3975,                 1.2835,                0.34273,                0.64066,                0.43337,                0.28157,                  1.198,                 1.7707,                 1.6434,             0.00074558,             0.00074558,             0.00074558
                     55,                0.93215,                 1.3424,                 1.2233,                0.29619,                0.67483,                0.42026,                0.25223,                 1.2892,                 1.9667,                 1.8353,             0.00074394,             0.00074394,             0.00074394
                     56,                0.89519,                 1.3548,                 1.2383,                0.35794,                0.57799,                0.44895,                0.24858,                 1.5509,                 1.8866,                  1.942,             0.00074229,             0.00074229,             0.00074229
                     57,                0.91045,                 1.3825,                 1.2613,                0.31279,                0.66455,                0.35977,                 0.2162,                 1.3563,                 2.0712,                 1.8432,             0.00074064,             0.00074064,             0.00074064
                     58,                0.94977,                 1.4218,                  1.251,                0.27704,                0.65302,                0.32854,                0.20965,                 1.2531,                 2.2757,                 1.7191,             0.00073899,             0.00073899,             0.00073899
                     59,                0.91016,                 1.3527,                 1.2295,                0.31819,                0.62387,                0.42284,                0.25739,                 1.3571,                 1.8493,                 1.7688,             0.00073734,             0.00073734,             0.00073734
                     60,                 0.8842,                 1.3355,                 1.2286,                0.33241,                0.59352,                0.44915,                0.26788,                 1.4094,                 1.7837,                 1.8397,             0.00073569,             0.00073569,             0.00073569
                     61,                0.87238,                 1.2869,                   1.21,                0.33498,                0.62609,                0.46035,                0.28234,                 1.4101,                 1.7943,                 1.8385,             0.00073404,             0.00073404,             0.00073404
                     62,                0.89864,                 1.2843,                 1.2259,                0.32701,                0.59496,                0.42518,                0.27394,                 1.2789,                    1.9,                 1.7411,             0.00073239,             0.00073239,             0.00073239
                     63,                0.87025,                 1.2839,                 1.1764,                0.39817,                0.61646,                0.46596,                0.28414,                 1.3552,                 1.8172,                  1.765,             0.00073074,             0.00073074,             0.00073074
                     64,                0.84222,                 1.2159,                 1.1577,                    0.3,                 0.6651,                0.39834,                0.24705,                 1.3261,                 1.9356,                 1.7548,             0.00072909,             0.00072909,             0.00072909
                     65,                0.82292,                  1.188,                 1.1625,                0.33177,                0.65847,                 0.4536,                0.27966,                 1.3921,                 1.7534,                 1.7426,             0.00072744,             0.00072744,             0.00072744
                     66,                0.85475,                   1.18,                 1.1732,                0.34969,                0.65762,                0.46598,                0.26863,                 1.3631,                 1.7639,                 1.8238,             0.00072579,             0.00072579,             0.00072579
                     67,                 0.8802,                 1.1955,                 1.1927,                0.33637,                0.68962,                0.42304,                0.27393,                 1.2674,                  1.898,                 1.6776,             0.00072414,             0.00072414,             0.00072414
                     68,                0.88056,                 1.2193,                 1.1986,                0.37993,                0.70789,                0.46822,                0.28411,                 1.2819,                 1.7586,                   1.78,             0.00072249,             0.00072249,             0.00072249
                     69,                0.91002,                 1.2176,                 1.2103,                0.33338,                0.67611,                0.43327,                0.22388,                 1.3899,                 1.9784,                  1.985,             0.00072084,             0.00072084,             0.00072084
                     70,                0.84195,                 1.1488,                  1.159,                  0.381,                0.52359,                0.44696,                0.27819,                  1.342,                 1.8363,                 1.7502,              0.0007192,              0.0007192,              0.0007192
                     71,                0.83965,                 1.1504,                 1.1644,                0.38132,                0.59526,                 0.4246,                0.26062,                 1.3394,                 1.9021,                 1.7866,             0.00071755,             0.00071755,             0.00071755
                     72,                0.83876,                  1.172,                 1.1591,                0.39043,                0.67773,                0.48826,                0.30122,                 1.3056,                 1.7574,                 1.7588,              0.0007159,              0.0007159,              0.0007159
                     73,                 0.8661,                 1.2149,                 1.1909,                0.35583,                 0.6594,                0.47107,                0.28836,                 1.3225,                 1.8023,                 1.7168,             0.00071425,             0.00071425,             0.00071425
                     74,                0.84228,                 1.2175,                 1.1774,                 0.3221,                0.64084,                0.45621,                0.27716,                 1.2645,                 1.7228,                 1.6933,              0.0007126,              0.0007126,              0.0007126
                     75,                0.81954,                 1.2179,                  1.162,                0.38255,                0.59846,                0.44327,                0.26231,                 1.3605,                 1.8496,                 1.7991,             0.00071095,             0.00071095,             0.00071095
                     76,                0.83759,                 1.2024,                 1.1523,                0.44501,                0.73811,                0.50973,                0.28418,                 1.4729,                 1.6902,                 1.9446,              0.0007093,              0.0007093,              0.0007093
                     77,                0.86578,                 1.1354,                 1.1672,                0.36168,                0.63846,                0.46028,                0.28146,                 1.3603,                 1.8956,                 1.8297,             0.00070765,             0.00070765,             0.00070765
                     78,                0.84446,                 1.1242,                 1.1486,                0.29136,                  0.599,                0.42978,                0.26283,                 1.3562,                 1.9554,                 1.8053,               0.000706,               0.000706,               0.000706
                     79,                0.86597,                 1.1802,                 1.1781,                0.40061,                0.65453,                0.50052,                0.30096,                 1.3844,                 1.6911,                 1.8308,             0.00070435,             0.00070435,             0.00070435
                     80,                0.83558,                 1.1627,                 1.1611,                0.41089,                0.61029,                 0.5094,                0.31817,                 1.2815,                 1.6012,                 1.6865,              0.0007027,              0.0007027,              0.0007027
                     81,                 0.8449,                 1.1455,                 1.1655,                0.39875,                0.70919,                0.49597,                0.29159,                 1.3849,                 1.6156,                 1.7911,             0.00070105,             0.00070105,             0.00070105
                     82,                0.84041,                  1.107,                 1.1562,                0.39073,                0.62685,                0.48607,                0.30002,                 1.3263,                 1.7181,                 1.7763,              0.0006994,              0.0006994,              0.0006994
                     83,                0.84477,                 1.1272,                 1.1666,                0.39259,                0.74926,                0.50766,                0.30809,                   1.23,                 1.6067,                 1.7144,             0.00069775,             0.00069775,             0.00069775
                     84,                 0.8142,                 1.1429,                 1.1614,                0.32898,                0.61904,                0.45773,                0.26261,                 1.4835,                 1.8405,                 1.9176,              0.0006961,              0.0006961,              0.0006961
                     85,                0.83223,                 1.1021,                 1.1386,                0.31753,                0.67543,                0.44476,                0.27484,                 1.3536,                 1.8539,                  1.779,             0.00069446,             0.00069446,             0.00069446
