                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0155,                 1.9377,                 1.6991,                0.30344,                0.85366,                0.48426,                0.42432,                 0.6448,                 1.5637,                 1.5921,             0.00077857,             0.00077857,             0.00077857
                     35,                 1.0284,                 1.9659,                 1.6909,                0.31235,                0.79869,                0.50139,                 0.4307,                0.64412,                 1.6341,                 1.6315,             0.00077692,             0.00077692,             0.00077692
                     36,                 1.0234,                 1.9215,                 1.7037,                0.56445,                0.52155,                0.54809,                0.46797,                0.65839,                 1.7173,                 1.5871,             0.00077527,             0.00077527,             0.00077527
                     37,                 1.0361,                 1.9378,                 1.7045,                0.26139,                0.78013,                0.52453,                0.44025,                 0.6353,                 1.7096,                 1.6007,             0.00077362,             0.00077362,             0.00077362
                     38,                 1.0849,                 1.9295,                 1.7027,                0.42337,                0.67377,                0.51688,                0.42517,                0.63273,                 1.6287,                  1.551,             0.00077197,             0.00077197,             0.00077197
                     39,                 1.0046,                 1.8496,                 1.6636,                0.26643,                0.80299,                0.44072,                0.37766,                0.68828,                 1.6137,                 1.5616,             0.00077033,             0.00077033,             0.00077033
                     40,                 1.0247,                 1.8789,                 1.6692,                0.28646,                0.85352,                0.51537,                0.45066,                0.61812,                 1.4953,                 1.5079,             0.00076868,             0.00076868,             0.00076868
                     41,                 1.0288,                  1.895,                 1.6721,                0.27645,                0.78713,                0.53318,                0.46229,                0.60242,                 1.4602,                 1.5223,             0.00076703,             0.00076703,             0.00076703
                     42,                0.97801,                 1.8209,                  1.672,                0.35315,                 0.7445,                0.59293,                0.52343,                0.64021,                 1.5699,                 1.5385,             0.00076538,             0.00076538,             0.00076538
                     43,                0.92853,                  1.791,                 1.5987,                0.39534,                0.57338,                0.54618,                 0.4733,                0.59953,                 1.6302,                 1.4981,             0.00076373,             0.00076373,             0.00076373
                     44,                0.97091,                 1.8479,                 1.6287,                0.27293,                0.78831,                0.57471,                 0.5023,                0.65918,                  1.475,                 1.5208,             0.00076208,             0.00076208,             0.00076208
                     45,                0.97395,                 1.7392,                 1.6431,                0.29218,                0.77832,                0.48105,                0.42798,                0.52328,                 1.6276,                 1.3594,             0.00076043,             0.00076043,             0.00076043
                     46,                0.92755,                 1.7482,                 1.6048,                0.33904,                0.74299,                0.57594,                 0.5085,                0.56611,                  1.405,                 1.3818,             0.00075878,             0.00075878,             0.00075878
                     47,                0.88076,                 1.7065,                 1.5434,                0.33085,                0.75289,                0.51987,                 0.4488,                0.65395,                 1.3878,                 1.4936,             0.00075713,             0.00075713,             0.00075713
                     48,                0.93533,                 1.8164,                 1.6041,                0.32308,                0.89812,                0.65825,                0.57278,                0.63433,                 1.4025,                 1.4633,             0.00075548,             0.00075548,             0.00075548
                     49,                0.87304,                 1.7059,                 1.5597,                0.61442,                0.61646,                0.60098,                0.53896,                0.53748,                 1.5525,                 1.3778,             0.00075383,             0.00075383,             0.00075383
                     50,                0.88668,                 1.6679,                 1.5461,                0.31153,                0.78255,                0.58078,                0.51292,                0.53702,                  1.479,                 1.4127,             0.00075218,             0.00075218,             0.00075218
                     51,                0.84899,                 1.6478,                 1.5288,                0.26524,                0.86721,                0.50534,                0.43998,                0.57571,                 1.4122,                  1.454,             0.00075053,             0.00075053,             0.00075053
                     52,                0.85018,                 1.6435,                 1.5196,                0.26846,                0.84223,                0.58397,                0.52166,                0.50987,                 1.4125,                 1.3773,             0.00074888,             0.00074888,             0.00074888
                     53,                0.86263,                 1.6232,                 1.5099,                0.52218,                0.80099,                0.71026,                0.61118,                 0.5697,                 1.3493,                 1.4239,             0.00074723,             0.00074723,             0.00074723
                     54,                0.87569,                 1.5852,                 1.5382,                0.30361,                0.76602,                0.68428,                 0.6069,                0.53256,                 1.2941,                  1.397,             0.00074558,             0.00074558,             0.00074558
                     55,                0.88314,                 1.5866,                 1.5073,                0.27081,                0.76098,                0.50861,                 0.4608,                0.52961,                 1.5806,                    1.4,             0.00074394,             0.00074394,             0.00074394
                     56,                0.85324,                 1.5788,                 1.5053,                0.25945,                0.85852,                0.49201,                0.43679,                0.56245,                  1.524,                 1.4291,             0.00074229,             0.00074229,             0.00074229
                     57,                0.85539,                  1.549,                  1.495,                0.23591,                0.75143,                0.47119,                0.41676,                0.61655,                 1.5425,                 1.5348,             0.00074064,             0.00074064,             0.00074064
                     58,                0.83121,                 1.5544,                 1.4783,                 0.2978,                0.91131,                0.58035,                 0.5203,                0.54342,                 1.2646,                 1.3686,             0.00073899,             0.00073899,             0.00073899
                     59,                0.79426,                 1.5506,                 1.4419,                0.30772,                0.81718,                0.59428,                0.53037,                0.54689,                 1.4124,                 1.3705,             0.00073734,             0.00073734,             0.00073734
                     60,                0.79615,                 1.5605,                 1.4251,                0.32842,                0.89193,                0.61962,                0.56299,                0.49344,                 1.5317,                 1.3067,             0.00073569,             0.00073569,             0.00073569
                     61,                0.81396,                 1.5111,                 1.4525,                0.36264,                0.86542,                 0.7059,                0.63894,                0.48328,                  1.265,                 1.2782,             0.00073404,             0.00073404,             0.00073404
                     62,                0.77689,                 1.4778,                 1.4317,                0.37355,                0.92495,                0.69049,                0.62207,                0.49542,                 1.2217,                  1.301,             0.00073239,             0.00073239,             0.00073239
                     63,                0.80528,                 1.4936,                 1.4311,                0.35933,                0.93127,                0.69697,                0.62775,                 0.4847,                 1.2236,                 1.3047,             0.00073074,             0.00073074,             0.00073074
                     64,                0.84409,                 1.4753,                 1.4532,                0.33632,                0.78566,                0.67557,                0.60178,                0.54121,                 1.2462,                 1.3632,             0.00072909,             0.00072909,             0.00072909
                     65,                0.82678,                 1.5101,                 1.4534,                0.45754,                0.73745,                0.67543,                0.58882,                 0.5435,                 1.3304,                   1.35,             0.00072744,             0.00072744,             0.00072744
                     66,                0.82121,                 1.4952,                 1.4693,                0.41686,                0.77733,                 0.7447,                0.65356,                 0.5292,                 1.2513,                 1.3391,             0.00072579,             0.00072579,             0.00072579
                     67,                0.80984,                 1.4854,                  1.448,                0.38125,                0.84038,                0.75713,                0.63671,                 0.6098,                 1.1985,                 1.3991,             0.00072414,             0.00072414,             0.00072414
                     68,                0.80034,                 1.4809,                 1.4377,                0.39639,                0.83597,                0.65444,                0.58065,                0.50763,                 1.1996,                 1.3041,             0.00072249,             0.00072249,             0.00072249
                     69,                0.78955,                 1.4214,                 1.4177,                0.39889,                0.82256,                0.72558,                0.63668,                0.53753,                 1.1539,                 1.3545,             0.00072084,             0.00072084,             0.00072084
                     70,                0.80456,                 1.4583,                 1.4463,                0.37064,                0.83391,                0.61805,                0.52983,                0.61402,                 1.1535,                 1.4431,              0.0007192,              0.0007192,              0.0007192
                     71,                0.70905,                 1.3062,                 1.3568,                0.30799,                0.85828,                0.64342,                0.56959,                0.52729,                 1.2185,                 1.3529,             0.00071755,             0.00071755,             0.00071755
