                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89763,                 1.7216,                 1.5678,                0.02001,                  0.253,                0.02394,                0.01536,                  2.526,                 5.1134,                 3.5741,             0.00077692,             0.00077692,             0.00077692
                     36,                0.88427,                 1.6936,                 1.5517,                0.18764,                0.19326,                0.08382,                0.03713,                 2.7671,                  4.856,                 3.6552,             0.00077527,             0.00077527,             0.00077527
                     37,                 0.9053,                 1.7258,                 1.5395,                0.12237,                0.15222,                0.05065,                0.03196,                 2.5732,                 4.9159,                 3.5036,             0.00077362,             0.00077362,             0.00077362
                     38,                0.89337,                 1.7263,                 1.5542,                0.09954,                0.06627,                 0.0539,                0.02611,                 2.7418,                 5.0996,                 3.6492,             0.00077197,             0.00077197,             0.00077197
                     39,                0.86704,                 1.7055,                 1.5328,                0.02755,                 0.2351,                0.06501,                0.03403,                 2.6811,                 5.0983,                 3.7182,             0.00077033,             0.00077033,             0.00077033
                     40,                0.84905,                 1.6701,                 1.5067,                0.25031,                0.10944,                0.08747,                0.04931,                 2.6394,                 4.9682,                 3.4992,             0.00076868,             0.00076868,             0.00076868
                     41,                0.86429,                 1.6472,                 1.4999,                0.16057,                0.18476,                0.10627,                 0.0612,                 2.5832,                 4.9609,                 3.4788,             0.00076703,             0.00076703,             0.00076703
                     42,                0.82545,                 1.6287,                 1.4688,                0.15166,                0.14289,                0.06113,                0.03904,                 2.6159,                 5.0413,                 3.5196,             0.00076538,             0.00076538,             0.00076538
                     43,                0.80421,                 1.5848,                 1.4529,                0.23328,                0.19567,                0.08917,                0.06179,                  2.632,                 4.9092,                 3.4758,             0.00076373,             0.00076373,             0.00076373
                     44,                0.79461,                 1.5503,                 1.4531,                0.11541,                0.24131,                 0.0836,                0.06496,                 2.5631,                 5.1321,                 3.5092,             0.00076208,             0.00076208,             0.00076208
                     45,                0.80537,                    1.6,                 1.4513,                0.05054,                0.26184,                0.09945,                0.07391,                  2.593,                 5.1955,                 3.5162,             0.00076043,             0.00076043,             0.00076043
                     46,                0.83604,                 1.6279,                 1.4628,                0.08568,                0.04941,                0.07213,                0.05502,                 2.5857,                 5.1883,                 3.4976,             0.00075878,             0.00075878,             0.00075878
                     47,                0.80249,                 1.5578,                 1.4495,                0.16368,                0.14501,                0.10121,                0.06742,                 2.5817,                 4.9944,                 3.4751,             0.00075713,             0.00075713,             0.00075713
                     48,                0.83439,                 1.5398,                 1.4381,                 0.1652,                0.12869,                0.07576,                0.04744,                 2.7576,                 5.1237,                 3.5466,             0.00075548,             0.00075548,             0.00075548
                     49,                0.84351,                 1.5316,                 1.4391,                0.19818,                0.11627,                0.09449,                0.05801,                  2.646,                 5.0198,                 3.4286,             0.00075383,             0.00075383,             0.00075383
