                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94593,                 1.7478,                 1.6483,                0.25605,                0.89871,                0.43313,                0.35836,                0.71183,                 1.5642,                 1.6017,             0.00077857,             0.00077857,             0.00077857
                     35,                  0.969,                  1.831,                 1.6608,                  0.268,                0.86939,                0.50877,                 0.4263,                0.72604,                  1.523,                 1.6849,             0.00077692,             0.00077692,             0.00077692
                     36,                 1.0087,                 1.7631,                 1.6781,                0.33724,                0.85798,                0.50488,                0.45009,                0.52889,                 1.5471,                 1.4088,             0.00077527,             0.00077527,             0.00077527
                     37,                0.97152,                  1.744,                 1.6354,                 0.3195,                0.77336,                0.53058,                0.46559,                0.62286,                 1.5166,                 1.5322,             0.00077362,             0.00077362,             0.00077362
                     38,                0.99253,                 1.7975,                  1.654,                0.24784,                0.81483,                0.50162,                0.43429,                0.60049,                 1.5494,                 1.5543,             0.00077197,             0.00077197,             0.00077197
                     39,                0.91195,                 1.7058,                 1.6013,                0.36714,                0.76185,                0.56796,                0.48173,                0.75031,                 1.5636,                 1.6354,             0.00077033,             0.00077033,             0.00077033
                     40,                0.98903,                 1.7528,                 1.6563,                0.20728,                0.80337,                0.58818,                 0.5255,                0.56115,                 1.4601,                 1.3953,             0.00076868,             0.00076868,             0.00076868
                     41,                0.95964,                 1.7442,                  1.633,                0.28163,                0.84547,                 0.5171,                0.44652,                0.61668,                 1.4805,                 1.4841,             0.00076703,             0.00076703,             0.00076703
                     42,                0.90086,                 1.6677,                 1.5841,                0.31064,                0.74661,                0.63291,                0.54046,                0.69745,                 1.4581,                 1.5441,             0.00076538,             0.00076538,             0.00076538
                     43,                0.90344,                  1.618,                 1.5757,                 0.2789,                0.86748,                0.58329,                0.52148,                0.55234,                 1.4277,                 1.3912,             0.00076373,             0.00076373,             0.00076373
                     44,                0.91643,                 1.6846,                 1.5867,                0.31628,                0.83179,                0.53292,                0.47556,                0.57378,                   1.37,                 1.3877,             0.00076208,             0.00076208,             0.00076208
                     45,                0.90644,                 1.6056,                 1.5713,                0.29319,                0.76616,                0.57342,                 0.5129,                0.52992,                 1.5215,                 1.3333,             0.00076043,             0.00076043,             0.00076043
                     46,                0.87848,                 1.5768,                 1.5424,                 0.2414,                0.61364,                0.52261,                0.46832,                0.50759,                 1.4118,                  1.334,             0.00075878,             0.00075878,             0.00075878
                     47,                0.84165,                 1.5549,                 1.5126,                0.24224,                0.83268,                0.39615,                 0.3502,                0.51252,                 1.5981,                 1.3082,             0.00075713,             0.00075713,             0.00075713
                     48,                0.93764,                 1.6779,                 1.5786,                0.26212,                0.90923,                0.46054,                0.40014,                 0.5885,                 1.5167,                 1.4046,             0.00075548,             0.00075548,             0.00075548
                     49,                0.85047,                 1.5637,                 1.5187,                0.44932,                0.67454,                 0.5929,                0.51053,                0.58389,                 1.3712,                  1.445,             0.00075383,             0.00075383,             0.00075383
